Modelo,Período de Producción (Aprox.),Unidades Fabricadas (Aprox.),Notas
250 GTO,1962-1964,36,"Cifra precisa"
288 GTO,1984–1985,272,"Cifra precisa"
F40,1987–1992,1311,"Cifra precisa"
F50,1995–1997,349,"Cifra precisa"
Enzo Ferrari,2002–2004,400,"Cifra precisa"
FXX,2005–2007,31,"30 + 1 para Schumacher"
FXX K,2014–2017,40,"Cifra precisa"
LaFerrari (Coupé),2013–2016,499,"Cifra precisa"
LaFerrari Aperta (Convertible),2016–2017,210,"Cifra precisa"
Monza SP1 / SP2 (Total combinado),2019–,499,"Cifra limitada"
SF90 XX Stradale,2023–,799,"Cifra limitada"
SF90 XX Spider,2023–,599,"Cifra limitada"
250 GT California Spyder SWB,1960–1963,56,"Cifra precisa"
250 GT Berlinetta Lusso,1962–1964,350,"Estimación comúnmente citada"
275 GTB (Todas las versiones),1964–1968,800,"Estimación comúnmente citada"
365 GTB/4 Daytona,1968–1973,1406,"Estimación comúnmente citada"
Dino 246 GT/GTS,1969–1974,3761,"Estimación comúnmente citada"
Testarossa,1984–1991,7177,"Estimación comúnmente citada"
Familia 308 / 328,1975–1989,20000,"Estimación general de la familia"
Familia 348,1989–1995,10000,"Estimación general de la familia"
Familia F355,1994–1999,11000,"Estimación general de la familia"
Familia 360,1999–2005,16000,"Estimación general de la familia"
Familia F430,2004–2009,17500,"Estimación general de la familia"
Familia 458,2009–2015,15000,"Estimación general de la familia"
Familia California / California T,2008–2017,16000,"Estimación general de la familia"
Familia 488,2015–2019,15000,"Estimación general de la familia"
F8 Tributo / F8 Spider,2019–2022,5000,"No publicado, estimación baja"
Roma / Portofino,2018–Actualidad,10500,"No publicado, estimación baja"
